,Exp,Country,Occupation,Compensation,Industry
0.142863978,6 - 10 years,Sri Lanka,Full-stack web developer,"$100,000 - $120,000",Software Products
0.069293831,11+ years,United States,DevOps,"More than $160,000",Retail
0.102159815,2 - 5 years,United States,Desktop developer,"$60,000 - $80,000",Aerospace
0.823597857,6 - 10 years,United States,Enterprise level services developer,"$40,000 - $60,000",Manufacturing
0.060518154,6 - 10 years,United Kingdom,Full-stack web developer,"$40,000 - $60,000",Web Services
0.910644354,6 - 10 years,Poland,Full-stack web developer,"$20,000 - $40,000",Internet
0.924412962,11+ years,Germany,"Executive (VP of Eng., CTO, CIO, etc.)","$80,000 - $100,000",Software Products
0.167753484,11+ years,Ireland {Republic},Back-end web developer,"$100,000 - $120,000",Finance / Banking
0.035263935,6 - 10 years,Canada,Quality Assurance,"$40,000 - $60,000",Finance / Banking
0.670303853,6 - 10 years,Poland,Full-stack web developer,"Less than $20,000",Internet
0.014406578,6 - 10 years,Finland,Mobile developer - iOS,"$60,000 - $80,000",Media / Advertising
0.683189957,11+ years,Sweden,Full-stack web developer,"$80,000 - $100,000",Finance / Banking
0.088932839,6 - 10 years,Australia,System administrator,"$80,000 - $100,000",Software Products
0.054689525,1 - 2 years,United States,DevOps,"$60,000 - $80,000",Software Products
0.875694722,6 - 10 years,N/A,Full-stack web developer,"Less than $20,000",Healthcare
0.178905953,1 - 2 years,Ireland {Republic},Data scientist,"$40,000 - $60,000",Finance / Banking
0.186063384,2 - 5 years,Greece,Mobile developer,"$20,000 - $40,000",Education
0.623729282,2 - 5 years,France,Back-end web developer,"$20,000 - $40,000",Internet
0.712598068,2 - 5 years,Russian Federation,Back-end web developer,"Less than $20,000",Gaming
0.406274775,11+ years,Germany,Desktop developer,"$120,000 - $140,000",Software Products
0.961997413,6 - 10 years,Czech Republic,Student,"Less than $20,000",Education
0.059562676,1 - 2 years,Hungary,Desktop developer,"$20,000 - $40,000",Software Products
0.894180384,6 - 10 years,Tunisia,Enterprise level services developer,"Less than $20,000",Software Products
0.913705887,1 - 2 years,Pakistan,Front-end web developer,"$20,000 - $40,000",Web Services
0.159648584,1 - 2 years,India,Full-stack web developer,"Less than $20,000",Web Services
0.197623399,2 - 5 years,United Kingdom,Full-stack web developer,"$20,000 - $40,000",Government
0.88612205,2 - 5 years,India,Mobile developer - Android,"Less than $20,000",Software Products
0.19495765,1 - 2 years,India,Full-stack web developer,"Less than $20,000",Web Services
0.155200178,11+ years,Canada,Full-stack web developer,"$20,000 - $40,000",Web Services
0.138418531,2 - 5 years,Poland,Developer with a statistics or mathematics background,"Less than $20,000",Manufacturing
0.33093984,2 - 5 years,India,Mobile developer,"$40,000 - $60,000",Consumer Products
0.916458869,2 - 5 years,Germany,Mobile developer - Android,"$20,000 - $40,000",Web Services
0.532950422,11+ years,United States,Full-stack web developer,"$100,000 - $120,000",Software Products
0.928985599,11+ years,Germany,Full-stack web developer,"$100,000 - $120,000",Internet
0.340062765,11+ years,United Kingdom,Full-stack web developer,"$120,000 - $140,000",Internet
0.595941552,6 - 10 years,Russian Federation,Full-stack web developer,Rather not say,Manufacturing
0.633848788,6 - 10 years,Russian Federation,Full-stack web developer,"Less than $20,000",Consulting
0.087709196,6 - 10 years,Spain,Full-stack web developer,"$20,000 - $40,000",Internet
0.642002846,6 - 10 years,Finland,Embedded application developer,"$40,000 - $60,000",Software Products
0.344013913,6 - 10 years,Brazil,Desktop developer,"$40,000 - $60,000",Education
0.342558605,6 - 10 years,Germany,Developer with a statistics or mathematics background,"$60,000 - $80,000",Software Products
0.600376142,6 - 10 years,United States,Enterprise level services developer,"$100,000 - $120,000",Telecommunications
0.734577391,2 - 5 years,India,Mobile developer - iOS,Rather not say,Software Products
0.573125189,2 - 5 years,Belarus,Full-stack web developer,"Less than $20,000",Media / Advertising
0.406116365,11+ years,Italy,Back-end web developer,"$40,000 - $60,000",Software Products
0.38805065,11+ years,Malaysia,Full-stack web developer,"$80,000 - $100,000",Software Products
0.850377368,1 - 2 years,India,Mobile developer - Android,Rather not say,Software Products
