,Country,Gender,Years IT / Programming Experience,Occupation,Compensation,Employment Status,Industry,Open to new job opportunities,How many hours programming as hobby per week?,Job Satisfaction
0.664847187,Australia,Male,,Student,"$60,000 - $80,000",Employed full-time,Other (please specify),I am open to new job opportunities,5-10 hours per week,I'm somewhat dissatisfied with my job
0.22704164,Japan,Male,2 - 5 years,Mobile developer - Android,"$40,000 - $60,000",Employed full-time,Software Products,I am open to new job opportunities,10-20 hours per week,I'm somewhat dissatisfied with my job
0.688214952,United States,Male,11+ years,Back-end web developer,,Employed full-time,Media / Advertising,I am open to new job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.547444279,Australia,Male,11+ years,,"$100,000 - $120,000",Employed full-time,Healthcare,I am open to new job opportunities,,I'm somewhat satisfied with my job
0.729982911,Ireland {Republic},Male,,,,,,,,
0.747994273,United Kingdom,Male,2 - 5 years,Back-end web developer,Rather not say,Employed full-time,,,,
0.835341274,Germany,Male,2 - 5 years,,Rather not say,Employed full-time,Aerospace,I am open to new job opportunities,5-10 hours per week,I'm neither satisfied nor dissatisfied with my job
0.939776812,Germany,Male,2 - 5 years,Student,Unemployed,I'm a student,,I am not interested in other job opportunities,5-10 hours per week,
0.911538933,Sweden,Male,11+ years,"Executive (VP of Eng., CTO, CIO, etc.)","$100,000 - $120,000",Employed full-time,Web Services,,,I love my job
0.01209561,United Kingdom,Male,6 - 10 years,Back-end web developer,"$60,000 - $80,000",Employed full-time,Other (please specify),I am not interested in other job opportunities,,I love my job
0.763201678,United States,Male,6 - 10 years,Full-stack web developer,"$80,000 - $100,000",Employed full-time,Software Products,I am not interested in other job opportunities,10-20 hours per week,I love my job
0.803066186,Germany,Male,11+ years,,,,,,,
0.969537156,India,Male,Less than 1 year,,,,,,,
0.845726335,United Kingdom,Male,11+ years,Desktop developer,"$60,000 - $80,000",Employed full-time,Healthcare,I am not interested in other job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.721534517,Spain,Male,1 - 2 years,Mobile developer - iOS,"Less than $20,000",Employed full-time,Healthcare,I am not interested in other job opportunities,None,I'm somewhat satisfied with my job
0.430244964,India,Male,2 - 5 years,Mobile developer - Android,"Less than $20,000",Employed full-time,Software Products,I am open to new job opportunities,10-20 hours per week,I love my job
0.010536172,Belgium,Male,11+ years,Developer with a statistics or mathematics background,"Less than $20,000",Freelance / Contractor,Government,I am open to new job opportunities,2-5 hours per week,I love my job
0.687831366,United Kingdom,Male,2 - 5 years,,"$20,000 - $40,000",Employed full-time,Web Services,I am open to new job opportunities,,I'm somewhat satisfied with my job
0.755032423,Russian Federation,Male,6 - 10 years,Full-stack web developer,"$20,000 - $40,000",Freelance / Contractor,,,,
0.962976074,Germany,Male,2 - 5 years,Full-stack web developer,"$40,000 - $60,000",Employed full-time,Healthcare,I am open to new job opportunities,2-5 hours per week,I'm somewhat satisfied with my job
0.340301151,Poland,Female,6 - 10 years,Full-stack web developer,"$20,000 - $40,000",Employed full-time,Internet,I am open to new job opportunities,1-2 hours per week,I'm somewhat satisfied with my job
0.200317769,United Kingdom,Male,2 - 5 years,,,,,,,
0.019244552,Austria,Male,2 - 5 years,Student,"Less than $20,000",I'm a student,,,,
0.267958804,Australia,Male,1 - 2 years,,,,,,,
0.476719025,Germany,Male,11+ years,,"$40,000 - $60,000",Employed full-time,Software Products,I am not interested in other job opportunities,5-10 hours per week,I love my job
0.811479872,Germany,Male,6 - 10 years,Front-end web developer,"$40,000 - $60,000",Employed full-time,Internet,I am open to new job opportunities,,
0.869747137,France,Male,11+ years,Developer with a statistics or mathematics background,Rather not say,Employed full-time,Manufacturing,,,I love my job
0.074902338,Canada,Male,11+ years,Full-stack web developer,"$60,000 - $80,000",Freelance / Contractor,Internet,I am not interested in other job opportunities,1-2 hours per week,I love my job
0.344439521,United Kingdom,Male,2 - 5 years,Developer with a statistics or mathematics background,"$40,000 - $60,000",Employed full-time,Healthcare,I am open to new job opportunities,1-2 hours per week,I love my job
